Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
14277.0,City of Calgary,Fish Creek Wastewater Treatment Plant,Calgary,Alberta,Alberta,T2J 5Z1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,32581.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,Continuous measure of bioreactor influent deposited via the final discharge point,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, PureOxygenActivated Sludge, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Boues activées par oxygène pur, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,50.9114,-114.0091,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
14278.0,City of Calgary,Pine Creek Wastewater Treatment Plant,Calgary,Alberta,Alberta,T2X 1Z3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,70595.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Filtration, Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Boues activées, Élimination biologique des nutriments (azote et phosphore), Précipitation chimique (phosphore), Filtration, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,50.8564,-113.9809,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23921.0,City of Camrose,City of Camrose Wastewater Treatment Lagoons,City of Camrose,Alberta,Alberta,T4V 0S8,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,5300.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoons - Aerated, Storage Ponds","Étangs aérés, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,52.9769,-112.846,Verified,Vérifié,Final Discharge Point,Point de rejet final,Battle River,Camrose Creek (aka Stoney Creek),Other,Autre,Other,Autre,operational,opérationnel
28096.0,City of Cold Lake,RUSC Lagoons,Cold Lake,Alberta,Alberta,T9M 1A1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,9609.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Lagoons - Aerated, Lagoon - Facultative, Storage Ponds","Étangs aérés, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Quarterly,Trimestriel,54.357,-110.1747,Verified,Vérifié,Final Discharge Point,Point de rejet final,Beaver River,Beaver River,Sport fishing,Pêche sportive,Fish spawning area within 1500 m,Frayère dans un rayon de 1500 m,operational,opérationnel
24002.0,City of Lacombe,City of Lacombe Lagoons,Lacombe,Alberta,Alberta,T4L 1E9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,3511.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Grit Removal, Lagoons - Aerated, Lagoon - Facultative, Storage Ponds","Dessablage, Étangs aérés, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,52.4774,-113.7074,Verified,Vérifié,Final Discharge Point,Point de rejet final,Wolf Creek,Wolf Creek,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
24677.0,City of Lethbridge,Lethbridge WWTP,Lethbridge,Alberta,Alberta,T1H 1E4,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,35000.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification, Biological Phosphorus Removal, Biological Nutrient Removal (Nitrogen and Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Élimination biologique de l'azote - Nitrification et dénitrification, Élimination biologique du phosphore, Élimination biologique des nutriments (azote et phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,49.7157,-112.8578,Verified,Vérifié,Final Discharge Point,Point de rejet final,Oldman River,Oldman River,Other,Autre,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
13827.0,City of Medicine Hat,Wastewater Treatment Plant,Medicine Hat,Alberta,Alberta,T1C 1S6,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,22691.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Trickling Filter, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Lit bactérien, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,50.0494,-110.6398,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
9579.0,City of Red Deer,Wastewater Treatment Plant,Red Deer,Alberta,Alberta,T4P3R6,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,35009.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Lagoon - Facultative, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Étang facultatif, Élimination biologique des nutriments (azote et phosphore), Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,52.3139,-113.7933,Verified,Vérifié,Final Discharge Point,Point de rejet final,Red Deer River,Red Deer River,Drinking water source,Source d'eau potable,Other,Autre,operational,opérationnel
23506.0,City of Wetaskiwin,Wetaskiwin Wastewater,Wetaskiwin,Alberta,Alberta,T9A 2G9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,4700.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,"Influent measured with flow meters 4700 m3 daily influent in 2012 , discharge twice yearly 6 weeks each discharge one spring one fall",No,Non,Intermittent,Intermittent,"Screening, Lagoons - Aerated, Lagoon - Facultative, Storage Ponds","Dégrillage, Étangs aérés, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,52.9844,-113.3352,Estimated,Estimé,Final Discharge Point,Point de rejet final,Battle River,Unnamed seasonal creek,Other,Autre,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
24232.0,Civeo Water Canada Ltd,BREL WWTP,Fort McMurray,Alberta,Alberta,T5S1K6,Other,Autre,Other,Autre,1148.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Chemical Precipitation (Phosphorus), Filtration, Disinfection","Dégrillage, Boues activées, Élimination biologique de l'ammoniac - Nitrification seulement, Précipitation chimique (phosphore), Filtration, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,57.125,-111.6155,Verified,Vérifié,Final Discharge Point,Point de rejet final,Athabasca River,Athabasca River,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
26954.0,Cold Lake First Nations,Cold Lake First Nations Lagoon,Cold Lake,Alberta,Alberta,T9M1P4,,,,,101.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,1/3 of water produced daily by water treatment plant plus the volume brought in daily by sewage trucks,No,Non,Intermittent,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Sédimentation/clarification primaire, Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,54.3431,-110.2248,Verified,Vérifié,Final Discharge Point,Point de rejet final,Beaver River,Unnamed spring,Other,Autre,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23532.0,Corix Utilities (Foothills Wastewater) Inc,Corix Utilities (Foothills Wastewater) Inc,DeWinton,Alberta,Alberta,T0L 0X0,Municipal or another local authority,Municipalité ou une autre autorité locale,Provincial,Provincial,594.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Filtration, Disinfection","Dessablage, Dégrillage, Boues activées, Élimination biologique de l'azote - Nitrification et dénitrification, Élimination biologique des nutriments (azote et phosphore), Précipitation chimique (phosphore), Filtration, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.8546,-113.9752,Verified,Vérifié,Final Discharge Point,Point de rejet final,Bow River,Bow River,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23258.0,Correctional Service Canada,PR REGION - Bowden Institution Wastewater Treatment System,Innisfail,Alberta,Alberta,T4G 1V1,Federal,Fédéral,Federal,Fédéral,484.0,Determined on the basis of the system's average design rate of influent flow,Déterminé à partir du débit de conception moyen d'affluent de ce système,,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,51.9818,-114.0027,Verified,Vérifié,Final Discharge Point,Point de rejet final,Ditch - Not a Water Body,Not Applicable,,,,,operational,opérationnel
