Appeal Type,Appeal Subtype,Agency,Status,Date Filed,Date Closed,Exam No.,Title,Expiration,Extension,Acronym
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/13/2017,,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Character,Department of Citywide Administrative Services - DCAS,Closed,04/11/2017,04/24/2017,113.0,Custodian,05/04/2017,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,04/11/2017,12/07/2017,5010.0,Administrative Manager,09/28/2020,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,04/10/2017,06/13/2017,4334.0,Police Communications Technician,11/13/2017,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,04/10/2017,07/20/2017,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,04/10/2017,06/29/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,04/10/2017,08/30/2017,3313.0,Police Officer,09/24/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,04/10/2017,08/28/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,04/10/2017,05/04/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,04/10/2017,05/18/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,04/07/2017,06/30/2017,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Psych,Department of Correction - DOC,Open,04/07/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Medical,Department of Correction - DOC,Closed,04/07/2017,11/02/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,04/06/2017,07/26/2017,4329.0,Police Officer,11/25/2020,,NYPD
Section 50,Medical,Department of Correction - DOC,Closed,04/06/2017,11/17/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/06/2017,05/05/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,04/06/2017,09/14/2017,3319.0,Police Officer,11/21/2019,,NYPD
Section 50,Character,Department of Finance - DOF,Closed,04/06/2017,04/12/2017,3021.0,Deputy City Sheriff,07/10/2017,,DOF
Section 50,Character,Transit Authority - NYCTA,Closed,04/05/2017,06/01/2017,8098.0,Train Operator,09/19/2017,,NYCTA
Section 50,Character,Department of Correction - DOC,Closed,04/05/2017,11/15/2017,4327.0,Correction Officer,11/05/2019,,DOC
Section 50,Character,Fire Department - FDNY,Closed,04/04/2017,05/03/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/04/2017,06/21/2017,6055.0,Project Manager Intern,01/11/2021,,DCAS
Section 50,Psych,Department of Finance - DOF,Closed,04/03/2017,04/06/2017,3021.0,Deputy City Sheriff,07/10/2017,,DOF
Waiting for DQ,,Fire Department - FDNY,Closed,04/03/2017,04/12/2017,,,,,FDNY
Section 50,Psych,Police Department - NYPD,Closed,04/03/2017,07/11/2017,3067.0,Police Officer,12/15/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/03/2017,06/06/2017,6049.0,Certified IT Administrator LAN WAN,03/01/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/03/2017,07/06/2017,7035.0,Administrative Director of Social Services,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,04/03/2017,05/22/2017,,,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,04/03/2017,10/25/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,04/03/2017,12/08/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,04/03/2017,05/04/2017,3303.0,Correction Officer,06/03/2019,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/03/2017,05/03/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,04/03/2017,08/08/2017,4332.0,Police Officer,12/21/2020,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,04/03/2017,11/03/2017,5010.0,Administrative Manager,09/28/2020,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Closed,04/03/2017,06/20/2017,,,,,NYCHA
Section 50,Medical,Fire Department - FDNY,Closed,03/31/2017,04/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Psych,Police Department - NYPD,Closed,03/31/2017,06/29/2017,4312.0,Police Officer,06/22/2020,,NYPD
Waiting for DQ,,Department of Sanitation - DSNY,Closed,03/31/2017,04/12/2017,,,,,DSNY
Section 50,Character,Police Department - NYPD,Closed,03/30/2017,08/08/2017,3068.0,Police Officer,12/18/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/30/2017,11/27/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/30/2017,06/02/2017,5044.0,Research Assistant,02/01/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,03/30/2017,11/15/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,03/30/2017,11/15/2017,5517.0,Promotion to Administrative Staff Analyst,08/17/2020,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,03/30/2017,11/13/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,03/30/2017,06/30/2017,6055.0,Project Manager Intern,01/11/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/29/2017,08/24/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Character,Police Department - NYPD,Closed,03/28/2017,08/08/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,03/28/2017,11/03/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Psych,Department of Correction - DOC,Closed,03/28/2017,09/07/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 76,Termination,Housing Authority - NYCHA,Closed,03/28/2017,05/24/2017,,,,,NYCHA
Section 76,Suspension,Housing Authority - NYCHA,Closed,03/28/2017,08/17/2017,,,,,NYCHA
Section 76,Suspension,Human Resources Administration - HRA,Closed,03/28/2017,06/21/2017,,,,,HRA
Section 50,Psych,Department of Correction - DOC,Closed,03/28/2017,11/01/2017,6029.0,Probation Officer,09/14/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,03/27/2017,07/06/2017,3326.0,School Safety Agent,09/09/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/27/2017,11/21/2017,6024.0,Plasterer,02/01/2021,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,03/27/2017,05/05/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,03/27/2017,06/15/2017,5010.0,Administrative Manager,09/28/2020,,DCAS
Jurisdictional Issue,,Fire Department - FDNY,Closed,03/24/2017,03/29/2017,,,,,FDNY
Section 50,Character,Police Department - NYPD,Closed,03/23/2017,07/07/2017,2302.0,Police Officer,04/30/2018,,NYPD
Section 50,Character,Fire Department - FDNY,Closed,03/23/2017,05/03/2017,2000.0,Firefighter,06/26/2017,,FDNY
Waiting for Appeal Request,,Police Department - NYPD,Closed,03/23/2017,06/09/2017,,,,,NYPD
Section 50,Psych,Police Department - NYPD,Open,03/22/2017,,3311.0,Police Offficer,06/29/2019,,NYPD
Waiting for DQ,,Transit Authority - NYCTA,Closed,03/22/2017,04/05/2017,,,,,NYCTA
Section 50,Character,Police Department - NYPD,Closed,03/22/2017,05/18/2017,4336.0,Police Communications Technician,03/09/2020,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,03/22/2017,05/04/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,03/22/2017,05/26/2017,3313.0,Police Officer,09/24/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,03/22/2017,08/07/2017,3314.0,Police Officer,12/09/2019,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,03/22/2017,10/10/2017,5710.0,Promotion to Assistant Train Dispatcher,,,DCAS
Section 50,Character,Administration for Children's Services - ACS,Closed,03/22/2017,07/05/2017,4317.0,Child Protective Specialist,05/06/2020,,ACS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,03/22/2017,06/21/2017,6605.0,Structure Maintainer Group C,,,NYCT
Section 50,Medical,Fire Department - FDNY,Closed,03/22/2017,06/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,03/21/2017,07/07/2017,3314.0,Police Officer,12/09/2019,,NYPD
Section 50,Medical,Department of Correction - DOC,Closed,03/21/2017,11/27/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/21/2017,10/10/2017,6044.0,Fraud Investigator,,,DCAS
Duplicate Filing,,Department of Parks and Recreation - DPR,Closed,03/20/2017,,,,,,DPR
Section 50,Character,Police Department - NYPD,Closed,03/20/2017,08/25/2017,4324.0,Police Officer,09/14/2020,,NYPD
Section 50,Medical,Department of Correction - DOC,Open,03/20/2017,,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Character,Fire Department - FDNY,Open,03/20/2017,,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,03/20/2017,06/13/2017,3314.0,Police Officer,12/09/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,03/20/2017,04/26/2017,3313.0,Police Officer,09/24/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,03/20/2017,06/15/2017,3313.0,Police Officer,09/24/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,03/20/2017,03/27/2017,,,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,03/20/2017,12/19/2017,3302.0,Correction Officer,05/29/2019,,DOC
Section 50,Character,Police Department - NYPD,Closed,03/20/2017,07/07/2017,3319.0,Police Officer,12/21/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,03/20/2017,07/05/2017,3310.0,Police Officer,06/25/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,03/20/2017,06/26/2017,5018.0,Computer Service Technician,,,DCAS
Duplicate Filing,,Department of Citywide Administrative Services - DCAS,Closed,03/19/2017,03/20/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,03/17/2017,,3314.0,Police Officer,12/09/2019,,NYPD
Duplicate Filing,,Civil Service Commission - NYCCSC,Closed,03/17/2017,03/17/2017,,,,,NYCCSC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,03/17/2017,10/13/2017,7035.0,Administrative Director of Social Services,,,DCAS
Waiting for DQ,,Department of Correction - DOC,Closed,03/17/2017,04/17/2017,,,,,DOC
Waiting for Appeal Request,,Police Department - NYPD,Closed,03/17/2017,04/17/2017,,,,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,03/17/2017,06/13/2017,6325.0,Correction Officer,09/21/2020,,DOC
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,03/17/2017,12/08/2017,6531.0,Promotion to Stationary Engineer (Electric),,,DCAS
Section 50,Medical,Police Department - NYPD,Open,03/16/2017,,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,03/16/2017,05/05/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Psych,Police Department - NYPD,Closed,03/15/2017,10/27/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Psych,Department of Correction - DOC,Closed,03/13/2017,09/21/2017,6325.0,Correction Officer,09/21/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,03/13/2017,07/26/2017,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,03/13/2017,05/15/2017,3313.0,Police Officer,09/24/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,03/13/2017,06/26/2017,3313.0,Police Officer,09/24/2019,,NYPD
Jurisdictional Issue,,Administration for Children's Services - ACS,Closed,03/10/2017,03/30/2017,,,,,ACS
Section 50,Character,Department of Correction - DOC,Closed,03/10/2017,07/26/2017,6325.0,Correction Officer,09/21/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,03/10/2017,06/29/2017,3312.0,Police Officer,09/23/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/09/2017,10/13/2017,7012.0,Administrative Engineer,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,03/09/2017,06/26/2017,3309.0,Police Officer,06/23/2019,,NYPD
Other,,Department of Correction - DOC,Closed,03/09/2017,05/02/2017,,,,,DOC
Section 50,Medical,Fire Department - FDNY,Closed,03/08/2017,03/24/2017,2500.0,Firefighter,12/19/2016,,FDNY
Section 50,Psych,Police Department - NYPD,Closed,03/08/2017,06/21/2017,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,03/08/2017,06/21/2017,6602.0,Light Maintainer,,,NYCT
Section 50,Psych,Police Department - NYPD,Closed,03/08/2017,12/19/2017,2053.0,Police Officer,06/17/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,03/08/2017,,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/07/2017,05/22/2017,7000.0,Emergency Medical Specialist - EMT (FIRE),03/29/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,03/07/2017,06/09/2017,6067.0,City Planner,,,DCAS
Section 50,Psych,Department of Correction - DOC,Closed,03/07/2017,12/14/2017,6308.0,Correction Officer,03/02/2020,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,03/07/2017,06/02/2017,6067.0,City Planner,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/06/2017,07/06/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,03/06/2017,07/20/2017,3317.0,Police Officer,11/16/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,03/06/2017,07/05/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,03/06/2017,08/04/2017,5330.0,Police Communications Technician,09/15/2020,,NYPD
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,03/06/2017,06/08/2017,6602.0,Light Maintainer,,,NYCT
Section 50,Psych,Police Department - NYPD,Open,01/12/2017,,3311.0,Police Officer,06/29/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,03/06/2017,03/16/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 76,Termination,Administration for Children's Services - ACS,Closed,03/06/2017,07/06/2017,,,,,ACS
Section 50,Psych,Civil Service Commission - NYCCSC,Closed,03/05/2017,03/06/2017,5784.0,NYS Court Officer-Trainee,,,NYCCSC
Section 50,Psych,Police Department - NYPD,Closed,03/03/2017,08/17/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,03/03/2017,10/13/2017,7012.0,Administrative Engineer,,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,03/02/2017,04/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Medical,Department of Sanitation - DSNY,Closed,03/02/2017,07/26/2017,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Psych,Police Department - NYPD,Closed,03/02/2017,03/17/2017,4321.0,School Safety Agent,04/27/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,03/02/2017,09/27/2017,6044.0,Fraud Investigator,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,03/01/2017,,7320.0,Correction Officer,01/11/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,03/01/2017,05/01/2017,6049.0,Certified IT Administrator (LAN/WAN),03/01/2021,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,03/01/2017,09/08/2017,4336.0,Police Communications Technician,03/09/2020,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,03/01/2017,04/12/2017,,,,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,03/01/2017,09/08/2017,5710.0,Promotion to Assistant Train Dispatcher,02/01/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,03/01/2017,04/12/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/28/2017,06/30/2017,6044.0,Fraud Investigator,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/28/2017,06/30/2017,6047.0,Health Services Manager,,,DCAS
Section 76,Termination,Department of Environmental Protection - DEP,Open,02/28/2017,,,,,,DEP
Section 50,Medical,Department of Sanitation - DSNY,Closed,02/27/2017,06/13/2017,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,02/27/2017,06/09/2017,5611.0,Signal Maintainer,,,NYCT
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/27/2017,04/10/2017,6047.0,Health Services Manager,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/27/2017,05/05/2017,5018.0,Computer Service Technician,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,02/24/2017,11/02/2017,5013.0,Associate Project Manager,10/05/2020,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,02/24/2017,09/01/2017,4318.0,Correction Officer,11/04/2019,,DOC
Section 50,Psych,Department of Correction - DOC,Open,02/24/2017,,6308.0,Correction Officer,03/02/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/24/2017,07/05/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/23/2017,08/31/2017,6043.0,Construction Project Manager Intern,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,02/23/2017,10/04/2017,6511.0,Promotion to Captain (Correction),12/28/2020,,DCAS
Section 50,Psych,Department of Correction - DOC,Open,02/23/2017,,4318.0,Correction Officer,11/04/2019,,DOC
Section 50,Psych,Police Department - NYPD,Open,02/23/2017,,4301.0,School Safety Agent,01/06/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/22/2017,11/17/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,02/22/2017,07/20/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/22/2017,09/18/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/22/2017,05/08/2017,6055.0,Project Manager Intern,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,02/22/2017,04/20/2017,4321.0,School Safety Agent,04/27/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/21/2017,06/07/2017,6042.0,Construction Project Manager,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,02/21/2017,05/16/2017,5502.0,Police Officer,06/17/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,02/21/2017,03/30/2017,4059.0,Police Administrative Aide,08/05/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/21/2017,09/08/2017,6042.0,Construction Project Manager,,,DCAS
Waiting for DQ,,Police Department - NYPD,Closed,01/17/2017,01/26/2017,,,,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/21/2017,08/31/2017,6042.0,Construction Project Manager,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/21/2017,04/24/2017,6067.0,City Planner,,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Closed,02/21/2017,05/24/2017,,,,,NYCHA
Waiting for DQ,,Department of Environmental Protection - DEP,Closed,02/19/2017,03/08/2017,,,,,DEP
Section 50,Psych,Fire Department - FDNY,Closed,02/17/2017,04/20/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,02/17/2017,06/09/2017,6602.0,Light Maintainer,,,NYCT
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,02/17/2017,10/26/2017,6506.0,Promotion to Heating Plant Technician (Housing Authority),12/21/2020,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,02/17/2017,03/07/2017,,,,,DCAS
Section 76,Termination,Department of Sanitation - DSNY,Closed,02/17/2017,05/24/2017,,,,,DSNY
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,02/16/2017,04/10/2017,5607.0,Telephone Maintainer,,,NYCT
Section 50,Character,Police Department - NYPD,Closed,02/16/2017,07/06/2017,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,02/16/2017,06/22/2017,5607.0,Telephone Maintainer,,,NYCT
Section 50,Medical,Department of Sanitation - DSNY,Closed,02/16/2017,04/12/2017,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Medical,Fire Department - FDNY,Closed,02/16/2017,05/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/15/2017,09/13/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/15/2017,03/27/2017,6055.0,Project Manager Intern,,,DCAS
Section 50,Character,Fire Department - FDNY,Closed,02/14/2017,04/06/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/14/2017,03/02/2017,6055.0,Project Manager Intern,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,02/14/2017,06/14/2017,4059.0,Police Administrative Aide,08/05/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,02/14/2017,06/21/2017,3068.0,Police Officer,12/18/2019,,NYPD
Duplicate Filing,,Department of Citywide Administrative Services - DCAS,Closed,02/13/2017,02/17/2017,,,,,DCAS
Section 50,Character,Fire Department - FDNY,Closed,02/13/2017,03/31/2017,2000.0,Firefighter,,,FDNY
Section 50,Psych,Police Department - NYPD,Closed,02/13/2017,05/08/2017,3311.0,Police Officer,04/05/2018,,NYPD
Section 50,Psych,Fire Department - FDNY,Closed,02/13/2017,06/07/2017,5003.0,Emergency Medical Specialist - EMT,02/18/2019,,FDNY
Waiting for DQ,,Transit Authority - NYCTA,Closed,02/13/2017,03/07/2017,,,,,NYCTA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/13/2017,10/24/2017,6024.0,Plasterer,02/01/2021,,DCAS
Waiting for Appeal Request,,Department of Citywide Administrative Services - DCAS,Closed,02/13/2017,03/22/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,02/13/2017,05/02/2017,3326.0,School Safety Agent,09/19/2019,,NYPD
Section 50,Medical,Department of Correction - DOC,Closed,02/13/2017,06/07/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,02/13/2017,08/09/2017,5013.0,Associate Project Manager,10/05/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/13/2017,06/30/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,02/13/2017,06/13/2017,4334.0,Police Communications Technician,11/13/2017,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/13/2017,05/18/2017,6047.0,Health Services Manager,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,02/13/2017,06/05/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Psych,Police Department - NYPD,Closed,02/13/2017,08/07/2017,3313.0,Police Officer,09/24/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/10/2017,11/29/2017,5039.0,Principal Administrative Associate,07/19/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/10/2017,08/31/2017,6044.0,Fraud Investigator,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,02/10/2017,03/22/2017,,,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,02/10/2017,,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/10/2017,10/17/2017,5039.0,Principal Administrative Associate,07/19/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/10/2017,11/02/2017,6007.0,Investigator,10/26/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/10/2017,11/09/2017,3037.0,Procurement Analyst,05/28/2018,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,02/09/2017,03/07/2017,,,,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Closed,02/08/2017,05/24/2017,,,,,NYCHA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/08/2017,09/11/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,02/08/2017,06/27/2017,5319.0,Traffic Enforcement Agent,10/28/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/08/2017,11/14/2017,5039.0,Principal Administrative Associate,07/19/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,02/07/2017,03/16/2017,3327.0,School Safety Agent,09/10/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,02/07/2017,06/07/2017,3311.0,Police Officer,06/29/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/07/2017,06/02/2017,6054.0,Plan Examiner,02/22/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,02/07/2017,05/12/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/07/2017,04/07/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,02/07/2017,04/24/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/07/2017,06/30/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/07/2017,02/08/2017,7011.0,Administrative Community Relations Specialist,,,DCAS
Section 76,Termination,Human Resources Administration - HRA,Closed,02/07/2017,05/12/2017,,,,,HRA
