Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
ME,"Feb 22 -  Mar 5, 2021",15,Statewide,Statewide,1332813,14,777.0,,,,229,5.0,2.27,8.39,0.0,173,6.8,3.04,11.09,0.0,143,1.0,0.0,3.97,1.0,219,6.5,3.34,10.41,0.0,340,2.4,0.68,4.48,0.0,559,4.4,2.71,6.51,0.0,58644.0,36119.0,86766.0,False,True
MI,"Feb 22 -  Mar 7, 2021",15,Statewide,Statewide,9957488,61,777.0,,,,354,23.5,18.55,28.14,0.0,392,15.7,12.41,19.36,0.0,314,11.2,7.43,14.99,0.0,445,19.9,14.64,25.59,0.0,676,20.5,16.33,24.63,0.0,1121,20.2,16.7,23.82,0.0,2011413.0,1662900.0,2371874.0,True,False
MN,"Feb 15 -  Mar 2, 2021",15,Statewide,Statewide,5527358,118,15.1,8.85,22.71,0.0,447,19.6,15.23,23.83,0.0,391,17.3,12.61,21.71,0.0,341,18.2,13.35,23.25,0.0,542,17.9,14.31,22.57,0.0,755,17.8,14.27,21.24,0.0,1297,17.8,15.34,20.79,0.0,983870.0,847897.0,1149138.0,True,False
MO,"Feb 22 -  Mar 7, 2021",15,Statewide,Statewide,6090062,194,30.5,23.41,37.73,0.0,375,23.7,18.96,28.8,0.0,359,24.1,19.01,30.28,0.0,349,12.9,8.44,17.82,0.0,520,23.6,19.25,28.19,0.0,757,23.5,19.61,27.64,0.0,1277,23.6,20.63,26.32,0.0,1437255.0,1256380.0,1602904.0,True,False
MS,"Feb 22 -  Mar 4, 2021",15,Statewide,Statewide,2988762,154,35.3,27.86,42.93,0.0,554,27.3,23.55,31.18,0.0,431,25.6,21.34,30.13,0.0,353,23.3,18.04,28.38,0.0,537,29.1,24.52,33.68,0.0,955,27.6,23.99,30.94,0.0,1492,28.3,25.64,30.94,0.0,845820.0,766319.0,924723.0,True,False
MT,"Feb 20 -  Mar 5, 2021",15,Statewide,Statewide,1041732,27,777.0,,,,219,17.7,12.59,23.1,0.0,159,15.0,8.8,21.23,0.0,151,14.7,9.03,21.4,0.0,231,13.9,9.19,20.38,0.0,325,16.5,11.28,22.18,0.0,556,15.2,11.43,19.2,0.0,158343.0,119070.0,200013.0,True,False
NC,"Feb 22 -  Mar 1, 2021",15,Statewide,Statewide,10155624,246,25.5,19.96,31.01,0.0,327,25.9,20.78,30.92,0.0,326,17.8,13.56,22.62,0.0,273,14.7,10.07,18.86,0.0,515,23.6,19.61,27.79,0.0,657,21.4,18.18,24.54,0.0,1172,22.5,19.75,25.04,0.0,2285015.0,2005736.0,2542968.0,True,False
ND,"Feb 22 -  Mar 1, 2021",15,Statewide,Statewide,752201,0,666.0,,,,0,666.0,,,,1,777.0,,,,2,777.0,,,,1,777.0,,,,2,777.0,,,,3,777.0,,,,,,,False,
NE,"Feb 16 -  Mar 6, 2021",15,Statewide,Statewide,1904760,70,777.0,,,,553,18.8,15.32,22.17,0.0,404,22.6,18.33,26.98,0.0,255,15.8,10.73,20.34,0.0,597,18.7,14.51,22.76,0.0,685,18.5,14.29,22.75,0.0,1282,18.6,15.39,21.63,0.0,354285.0,293143.0,412000.0,True,False
NH,"Feb 22 -  Mar 4, 2021",15,Statewide,Statewide,1343622,49,777.0,,,,455,7.0,4.63,9.99,0.0,326,6.7,3.97,9.81,0.0,465,5.2,2.91,7.55,0.0,523,8.3,4.12,13.4,0.0,772,9.1,5.58,13.14,0.0,1295,8.7,5.68,11.81,0.0,116895.0,76318.0,158682.0,True,False
NJ,"Feb 18 -  Mar 3, 2021",15,Statewide,Statewide,8881845,222,32.3,25.78,39.08,0.0,351,35.1,30.13,39.73,0.0,341,20.7,16.21,25.27,0.0,356,15.1,11.55,18.89,0.0,570,31.7,27.5,35.99,0.0,700,25.3,21.86,28.72,0.0,1270,28.4,25.86,31.21,0.0,2522444.0,2296845.0,2772024.0,True,False
NM,"Feb 19 -  Mar 4, 2021",15,Statewide,Statewide,2092434,159,17.6,11.1,24.31,0.0,380,19.7,15.63,23.99,0.0,380,15.8,12.23,19.9,0.0,380,10.4,7.15,13.53,0.0,531,17.4,13.62,21.64,0.0,768,16.5,13.69,19.65,0.0,1299,16.9,14.4,19.29,0.0,353621.0,301310.0,403631.0,True,False
NV,"Feb 22 -  Mar 1, 2021",15,Statewide,Statewide,2922849,166,30.7,23.42,38.55,0.0,424,29.6,25.19,33.96,0.0,378,23.0,18.63,26.72,0.0,341,9.7,6.32,13.04,0.0,541,24.8,21.01,28.76,0.0,768,26.5,22.77,30.08,0.0,1309,25.6,22.79,28.36,0.0,748249.0,666117.0,828920.0,True,False
NY,"Feb 17 -  Mar 6, 2021",15,Statewide,Statewide,19618453,335,11.1,7.37,14.72,0.0,334,14.7,10.67,18.93,0.0,332,11.7,8.15,15.78,0.0,328,8.7,5.46,11.97,0.0,600,12.3,9.18,15.13,0.0,729,12.5,9.93,15.43,0.0,1329,12.4,10.37,14.37,0.0,2432688.0,2034434.0,2819172.0,True,False
OH,"Feb 22 -  Mar 6, 2021",15,Statewide,Statewide,11641879,374,32.3,26.99,37.49,0.0,379,39.9,34.89,44.46,0.0,342,26.6,21.39,31.45,0.0,303,16.3,11.63,20.72,0.0,665,37.9,34.25,41.55,0.0,733,25.6,22.33,29.27,0.0,1398,31.6,28.81,34.26,0.0,3678834.0,3354025.0,3988508.0,True,False
OK,"Feb 19 - Feb 27, 2021",15,Statewide,Statewide,3918137,318,25.5,20.71,29.9,0.0,324,16.7,12.1,20.94,0.0,325,22.5,17.74,27.47,0.0,332,16.8,12.4,21.53,0.0,526,21.7,17.87,25.32,0.0,773,18.3,15.01,21.6,0.0,1299,20.0,17.6,22.42,0.0,783627.0,689592.0,878446.0,True,False
OR,"Feb 19 - Feb 27, 2021",15,Statewide,Statewide,4081943,157,14.7,8.86,20.47,0.0,343,5.5,2.91,8.0,0.0,473,3.8,2.13,5.64,0.0,340,4.1,1.73,7.51,0.0,556,8.9,5.93,11.88,0.0,757,4.9,2.98,6.89,0.0,1313,6.9,5.17,8.66,0.0,281654.0,211036.0,353496.0,True,False
PA,"Feb 22 -  Mar 4, 2021",15,Statewide,Statewide,12791181,376,17.7,13.38,22.24,0.0,350,20.8,16.22,25.92,0.0,331,17.3,12.63,22.13,0.0,463,12.8,9.27,16.72,0.0,573,18.3,14.4,22.16,0.0,947,17.7,14.79,20.46,0.0,1520,18.0,15.77,20.36,0.0,2302413.0,2017169.0,2604284.0,True,False
PR,"Feb 22 -  Mar 2, 2021",15,Statewide,Statewide,3386941,325,6.4,3.72,9.72,0.0,325,30.9,25.1,37.3,0.0,325,24.0,19.12,29.25,0.0,325,34.8,29.32,40.75,0.0,490,25.3,20.56,30.03,0.0,810,25.4,21.59,29.33,0.0,1300,25.3,22.39,28.4,0.0,856896.0,758336.0,961891.0,True,False
RI,"Feb 22 -  Mar 6, 2021",15,Statewide,Statewide,1056611,85,15.1,7.44,23.99,0.0,456,12.5,9.36,15.61,0.0,329,16.3,12.46,21.05,0.0,318,12.8,9.12,16.81,0.0,500,14.2,10.39,17.99,0.0,688,13.6,10.58,16.84,0.0,1188,13.9,11.61,16.37,0.0,146869.0,122673.0,172967.0,True,False
SC,"Feb 22 -  Mar 4, 2021",15,Statewide,Statewide,4955925,237,31.2,25.09,37.13,0.0,341,30.6,24.94,36.02,0.0,179,22.6,16.22,29.72,0.0,288,10.7,7.12,15.12,0.0,416,26.3,21.77,30.64,0.0,629,25.3,21.51,28.77,0.0,1045,25.8,22.73,28.64,0.0,1278629.0,1126482.0,1419377.0,True,False
SD,"Feb 22 -  Mar 3, 2021",15,Statewide,Statewide,864289,3,777.0,,,,33,777.0,,,,27,777.0,,,,25,777.0,,,,34,777.0,,,,54,777.0,,,,88,29.7,17.77,41.08,0.0,256694.0,153584.0,355050.0,True,False
TN,"Feb 22 -  Mar 6, 2021",15,Statewide,Statewide,6651089,175,40.9,33.12,48.44,0.0,393,30.1,25.01,35.34,0.0,319,20.2,14.92,25.44,0.0,385,17.2,12.84,21.74,0.0,560,27.6,23.19,31.67,0.0,712,29.5,25.34,33.55,0.0,1272,28.6,25.62,31.42,0.0,1902211.0,1704009.0,2089772.0,True,False
TX,"Feb 18 -  Mar 4, 2021",15,Statewide,Statewide,27885195,66,777.0,,,,447,33.4,27.64,38.68,0.0,397,28.7,23.84,34.06,0.0,386,16.6,12.21,22.0,0.0,556,37.4,31.58,43.94,0.0,740,28.2,22.12,33.94,0.0,1296,32.8,28.74,37.35,0.0,9146344.0,8014205.0,10415120.0,True,False
UT,"Feb 22 -  Mar 1, 2021",15,Statewide,Statewide,3045350,93,33.9,23.03,45.19,0.0,386,26.1,21.82,31.13,0.0,497,25.0,20.44,29.69,0.0,332,14.2,10.08,18.34,0.0,513,26.7,20.41,33.42,0.0,795,27.3,22.88,32.31,0.0,1308,27.0,23.12,31.02,0.0,822245.0,704085.0,944668.0,True,False
VA,"Feb 18 -  Mar 3, 2021",15,Statewide,Statewide,8413774,15,777.0,,,,283,15.6,11.11,20.27,0.0,319,11.3,7.04,15.67,0.0,331,9.1,5.68,13.31,0.0,361,12.0,6.83,17.43,0.0,587,16.4,12.61,21.62,0.0,948,14.2,11.01,17.87,0.0,1194756.0,926357.0,1503541.0,True,False
VT,"Feb 22 -  Mar 5, 2021",15,Statewide,Statewide,624977,16,777.0,,,,207,3.9,1.02,7.09,0.0,141,1.2,0.0,3.45,1.0,157,3.1,0.43,6.48,0.0,193,2.9,0.68,6.07,0.0,328,2.9,0.92,5.24,0.0,521,2.9,1.31,4.86,0.0,18124.0,8187.0,30374.0,False,True
WA,"Feb 19 -  Mar 4, 2021",15,Statewide,Statewide,7294336,298,10.4,6.7,14.38,0.0,346,4.7,2.52,7.12,0.0,340,4.8,2.06,7.26,0.0,323,3.5,1.5,6.21,0.0,501,6.3,4.13,8.74,0.0,806,5.3,3.64,7.06,0.0,1307,5.8,4.41,7.33,0.0,423071.0,321680.0,534675.0,True,False
WI,"Feb 22 -  Mar 6, 2021",15,Statewide,Statewide,5778394,126,38.0,30.01,47.14,0.0,410,30.7,25.27,36.43,0.0,413,25.3,20.23,30.97,0.0,300,26.4,19.73,32.94,0.0,475,30.0,25.08,34.97,0.0,774,31.0,26.68,35.59,0.0,1249,30.5,27.25,34.18,0.0,1762410.0,1574612.0,1975055.0,True,False
WV,"Feb 17 -  Mar 7, 2021",15,Statewide,Statewide,1829054,40,777.0,,,,437,11.2,7.98,14.98,0.0,394,8.8,5.35,12.26,0.0,374,8.3,5.22,11.09,0.0,496,10.5,7.17,15.14,0.0,749,7.7,5.31,10.91,0.0,1245,9.1,6.98,11.67,0.0,166444.0,127668.0,213451.0,True,False
WY,"Feb 22 -  Mar 3, 2021",15,Statewide,Statewide,581836,5,777.0,,,,50,777.0,,,,44,777.0,,,,58,777.0,,,,48,777.0,,,,109,21.6,12.05,32.11,0.0,157,18.4,9.61,27.48,0.0,107058.0,55914.0,159889.0,True,False
US,"Feb 15 -  Mar 7, 2021",15,50 States & DC,50 States & DC,322903030,8679,25.5,24.42,26.69,0.0,18099,23.0,22.2,23.86,0.0,16778,18.1,17.1,18.91,0.0,15831,13.2,12.43,13.92,0.0,24418,21.4,20.7,22.16,0.0,34969,20.1,19.53,20.78,0.0,59387,20.8,20.24,21.21,0.0,67163830.0,65355573.0,68487733.0,True,False
AK,"Mar 2 - Mar 20, 2021",16,Statewide,Statewide,738516,44,777.0,,,,472,11.3,7.95,15.22,0.0,404,11.0,7.43,14.65,0.0,392,6.0,3.14,8.86,0.0,533,8.0,5.55,11.15,0.0,779,8.6,6.1,11.49,0.0,1312,8.3,6.6,10.45,0.0,61297.0,48742.0,77175.0,True,False
AL,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,4864680,305,37.0,30.92,43.77,0.0,458,32.1,27.62,36.64,0.0,393,23.9,19.36,28.56,0.0,470,18.4,14.57,22.31,0.0,683,29.1,24.91,33.16,0.0,943,29.7,26.29,32.73,0.0,1626,29.4,26.74,31.84,0.0,1430216.0,1300815.0,1548914.0,True,False
AR,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,2990671,326,34.3,29.15,39.87,0.0,333,24.9,20.0,30.04,0.0,331,23.5,18.43,28.31,0.0,374,14.9,10.68,18.77,0.0,547,26.0,22.14,30.28,0.0,817,24.4,20.99,27.75,0.0,1364,25.2,22.56,27.61,0.0,753649.0,674695.0,825724.0,True,False
AZ,"Mar 8 - Mar 12, 2021",16,Statewide,Statewide,6946685,286,32.5,27.04,38.25,0.0,351,28.8,23.81,33.82,0.0,324,25.5,20.38,30.69,0.0,375,15.6,11.89,19.56,0.0,542,26.3,21.76,30.27,0.0,794,27.4,23.93,30.94,0.0,1336,26.9,23.93,29.26,0.0,1868658.0,1662342.0,2032600.0,True,False
CA,"Mar 8 - Mar 15, 2021",16,Statewide,Statewide,39148760,326,29.8,24.84,34.62,0.0,327,18.5,13.96,23.11,0.0,326,20.6,16.03,25.65,0.0,325,10.7,7.6,14.33,0.0,567,18.0,14.98,21.67,0.0,737,22.8,19.27,26.31,0.0,1304,20.4,17.94,22.9,0.0,7986347.0,7023288.0,8965066.0,True,False
CO,"Mar 7 - Mar 12, 2021",16,Statewide,Statewide,5531141,144,17.7,10.08,24.49,0.0,396,9.2,6.51,12.12,0.0,388,10.2,6.96,14.69,0.0,397,8.0,4.9,11.25,0.0,613,13.2,9.31,16.37,0.0,712,9.1,6.74,11.81,0.0,1325,11.2,8.94,13.22,0.0,619488.0,494484.0,731217.0,True,False
CT,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,3581504,320,14.9,10.42,19.24,0.0,326,9.3,6.1,12.7,0.0,317,10.7,7.3,14.52,0.0,321,11.9,8.02,15.53,0.0,524,11.8,8.98,14.56,0.0,760,10.7,8.25,13.3,0.0,1284,11.2,9.55,12.99,0.0,401128.0,342034.0,465237.0,True,False
DC,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,684498,177,26.7,20.1,34.03,0.0,315,21.7,17.01,27.02,0.0,501,20.2,16.53,24.28,0.0,372,11.3,8.1,14.69,0.0,541,21.2,16.65,26.48,0.0,824,21.1,17.21,24.77,0.0,1365,21.1,18.15,24.34,0.0,144429.0,124236.0,166607.0,True,False
DE,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,949495,179,26.0,19.33,33.42,0.0,360,18.4,14.07,22.59,0.0,348,14.3,10.39,18.42,0.0,456,14.0,10.86,17.21,0.0,518,21.8,17.23,26.56,0.0,825,15.2,12.34,18.17,0.0,1343,18.4,15.74,21.12,0.0,174707.0,149451.0,200533.0,True,False
FL,"Mar 8 - Mar 18, 2021",16,Statewide,Statewide,20598139,327,24.7,19.53,29.84,0.0,325,21.8,17.64,26.64,0.0,333,19.6,15.19,24.29,0.0,335,18.5,14.11,22.85,0.0,580,20.1,16.59,23.65,0.0,740,22.4,19.12,26.24,0.0,1320,21.3,18.9,24.07,0.0,4387404.0,3893048.0,4957972.0,True,False
GA,"Mar 8 - Mar 12, 2021",16,Statewide,Statewide,10297484,325,16.0,11.84,20.26,0.0,324,19.9,15.73,24.64,0.0,325,20.6,15.82,25.85,0.0,325,10.1,6.32,13.75,0.0,559,19.3,15.75,23.22,0.0,740,16.4,13.42,19.92,0.0,1299,17.8,15.35,20.43,0.0,1832952.0,1580664.0,2103776.0,True,False
HI,"Mar 3 - Mar 21, 2021",16,Statewide,Statewide,1422029,45,777.0,,,,397,4.0,1.85,6.28,0.0,451,2.3,0.77,4.04,0.0,425,1.9,0.67,3.41,0.0,482,2.1,0.78,3.9,0.0,836,2.8,1.4,4.31,0.0,1318,2.4,1.45,3.5,0.0,34129.0,20619.0,49771.0,False,False
IA,"Mar 4 - Mar 19, 2021",16,Statewide,Statewide,3132499,46,777.0,,,,619,17.0,13.65,20.3,0.0,345,21.4,17.09,25.79,0.0,269,13.0,8.83,17.22,0.0,566,20.7,15.87,26.02,0.0,713,21.2,16.04,27.03,0.0,1279,21.0,17.5,24.87,0.0,657825.0,548187.0,779053.0,True,False
ID,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,1687809,47,777.0,,,,557,14.2,10.85,17.82,0.0,342,11.3,7.78,15.12,0.0,351,11.9,7.62,16.6,0.0,485,17.6,11.01,26.0,0.0,812,13.2,9.1,17.98,0.0,1297,15.4,11.59,19.94,0.0,259923.0,195617.0,336549.0,True,False
IL,"Mar 8 - Mar 17, 2021",16,Statewide,Statewide,12821497,399,34.0,28.66,40.25,0.0,398,34.4,28.99,40.51,0.0,323,30.5,24.51,36.58,0.0,376,24.1,17.85,30.71,0.0,561,28.9,24.23,33.83,0.0,935,35.1,30.42,40.27,0.0,1496,32.0,29.0,35.57,0.0,4102879.0,3718234.0,4560606.0,True,False
IN,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,6637426,19,777.0,,,,503,28.7,23.66,34.18,0.0,206,21.8,13.11,31.0,0.0,183,16.5,8.9,24.95,0.0,240,23.5,15.26,31.78,0.0,671,27.5,21.67,37.87,0.0,911,25.6,21.15,30.48,0.0,1699181.0,1403816.0,2023087.0,True,False
KS,"Mar 5 - Mar 13, 2021",16,Statewide,Statewide,2908776,240,17.9,12.73,23.34,0.0,388,11.2,7.91,14.93,0.0,333,14.4,10.47,18.7,0.0,348,11.1,7.53,15.24,0.0,531,12.5,9.29,16.41,0.0,778,14.4,11.76,17.12,0.0,1309,13.5,11.4,15.81,0.0,392685.0,331600.0,459877.0,True,False
KY,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,4440204,321,22.6,17.29,27.44,0.0,314,27.1,21.88,32.35,0.0,351,22.8,18.36,27.79,0.0,364,11.1,7.42,14.46,0.0,566,24.6,20.31,28.53,0.0,784,20.9,17.63,24.0,0.0,1350,22.7,20.1,25.21,0.0,1007926.0,892481.0,1119375.0,True,False
LA,"Mar 4 - Mar 19, 2021",16,Statewide,Statewide,4663616,324,20.3,14.76,27.06,0.0,325,13.2,9.5,17.09,0.0,325,11.3,8.07,14.98,0.0,324,12.2,8.85,15.91,0.0,541,15.5,12.09,19.31,0.0,757,13.3,10.58,16.21,0.0,1298,14.4,12.16,16.64,0.0,671561.0,567096.0,776026.0,True,False
MA,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,6830193,210,14.3,9.43,19.72,0.0,352,12.1,8.36,15.91,0.0,358,11.0,7.32,14.16,0.0,356,9.4,6.27,12.71,0.0,533,14.2,10.53,18.09,0.0,743,9.7,7.28,12.14,0.0,1276,11.9,9.66,14.18,0.0,812793.0,659797.0,968521.0,True,False
MD,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,6003435,67,777.0,,,,465,22.9,19.2,26.73,0.0,426,15.0,11.48,18.95,0.0,432,8.5,5.79,11.19,0.0,506,19.6,14.6,25.08,0.0,884,20.4,17.06,24.11,0.0,1390,20.0,17.02,23.05,0.0,1200687.0,1021785.0,1383792.0,True,False
ME,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,1332813,25,777.0,,,,203,4.0,0.98,7.32,0.0,141,4.9,1.12,9.32,0.0,121,3.0,0.0,7.52,1.0,193,4.6,2.04,8.12,0.0,297,4.6,1.24,9.13,0.0,490,4.6,2.39,7.42,0.0,61309.0,31854.0,98895.0,True,True
MI,"Mar 8 - Mar 19, 2021",16,Statewide,Statewide,9957488,73,777.0,,,,339,18.6,14.33,23.08,0.0,464,17.1,13.55,20.96,0.0,441,8.9,5.98,12.25,0.0,448,15.7,10.93,20.66,0.0,869,23.5,19.08,27.54,0.0,1317,19.7,16.57,22.81,0.0,1961625.0,1649956.0,2271303.0,True,False
MN,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,5527358,174,16.1,10.42,22.6,0.0,401,12.9,9.11,17.71,0.0,422,14.8,10.99,19.31,0.0,310,16.1,10.5,21.51,0.0,556,14.1,10.52,18.09,0.0,751,15.0,11.74,18.52,0.0,1307,14.5,12.08,17.17,0.0,801467.0,667705.0,949047.0,True,False
MO,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,6090062,172,24.0,15.87,32.68,0.0,395,25.6,19.72,31.26,0.0,428,19.8,15.21,25.12,0.0,441,16.8,12.29,21.97,0.0,614,20.1,15.63,24.66,0.0,822,25.1,21.1,29.5,0.0,1436,22.7,19.4,25.84,0.0,1382444.0,1181472.0,1573672.0,True,False
MS,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,2988762,115,28.2,19.95,36.33,0.0,412,37.2,32.0,42.37,0.0,413,23.4,19.37,27.96,0.0,378,20.7,16.39,25.16,0.0,495,28.9,23.63,34.24,0.0,823,30.9,27.28,34.65,0.0,1318,29.9,26.75,33.15,0.0,893640.0,799494.0,990775.0,True,False
MT,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,1041732,30,777.0,,,,212,8.1,4.58,12.04,0.0,158,16.3,10.52,21.95,0.0,149,8.2,3.44,13.57,0.0,227,8.0,4.6,11.67,0.0,322,15.7,9.87,22.12,0.0,549,11.8,8.05,15.6,0.0,122924.0,83859.0,162510.0,True,False
NC,"Mar 9 - Mar 18, 2021",16,Statewide,Statewide,10155624,329,24.5,20.21,29.41,0.0,293,28.5,23.62,33.7,0.0,324,19.9,15.59,24.07,0.0,194,14.9,9.76,19.97,0.0,535,24.9,21.19,29.07,0.0,605,22.8,19.06,26.94,0.0,1140,23.8,21.14,26.63,0.0,2417039.0,2146899.0,2704443.0,True,False
ND,"Mar 9 - Mar 19, 2021",16,Statewide,Statewide,752201,0,666.0,,,,14,777.0,,,,12,777.0,,,,9,777.0,,,,18,777.0,,,,17,777.0,,,,35,777.0,,,,,,,True,
NE,"Mar 5 - Mar 19, 2021",16,Statewide,Statewide,1904760,81,17.4,9.87,27.11,0.0,548,19.9,16.63,23.41,0.0,409,21.6,17.78,25.7,0.0,238,16.5,11.59,22.34,0.0,583,17.8,14.26,21.96,0.0,693,20.4,16.64,24.6,0.0,1276,19.1,16.51,22.06,0.0,363809.0,314476.0,420190.0,True,False
NH,"Mar 8 - Mar 18, 2021",16,Statewide,Statewide,1343622,67,777.0,,,,548,8.2,6.09,10.53,0.0,342,9.6,6.47,12.95,0.0,343,5.0,2.29,8.06,0.0,577,7.2,5.11,9.51,0.0,723,8.9,6.35,11.85,0.0,1300,8.1,6.35,9.8,0.0,108833.0,85320.0,131675.0,True,False
NJ,"Mar 4 - Mar 17, 2021",16,Statewide,Statewide,8881845,209,40.1,33.7,47.11,0.0,304,31.7,25.92,36.91,0.0,292,21.0,16.51,26.17,0.0,330,15.7,11.6,20.1,0.0,477,28.9,24.08,33.71,0.0,658,28.8,25.02,32.89,0.0,1135,28.9,25.99,31.82,0.0,2566853.0,2308392.0,2826203.0,True,False
NM,"Mar 4 - Mar 20, 2021",16,Statewide,Statewide,2092434,204,21.5,15.41,28.27,0.0,365,15.1,11.15,18.88,0.0,365,17.2,12.93,21.49,0.0,365,7.2,4.48,10.23,0.0,520,15.6,11.69,19.55,0.0,779,15.9,12.92,18.99,0.0,1299,15.7,13.34,18.04,0.0,328512.0,279131.0,377475.0,True,False
NV,"Mar 8 - Mar 15, 2021",16,Statewide,Statewide,2922849,94,35.7,25.88,46.37,0.0,437,24.9,20.78,29.34,0.0,442,22.0,17.46,26.27,0.0,346,11.4,8.02,14.8,0.0,538,26.2,21.4,31.56,0.0,781,23.4,19.79,27.17,0.0,1319,24.8,22.0,28.03,0.0,724867.0,643027.0,819275.0,True,False
NY,"Mar 1 - Mar 20, 2021",16,Statewide,Statewide,19618453,352,11.0,7.85,14.52,0.0,323,16.2,12.05,20.19,0.0,304,15.2,11.15,19.49,0.0,329,10.2,6.93,13.51,0.0,605,15.4,11.98,19.08,0.0,703,12.6,9.98,15.5,0.0,1308,13.9,11.83,16.08,0.0,2726965.0,2320863.0,3154647.0,True,False
OH,"Mar 8 - Mar 17, 2021",16,Statewide,Statewide,11641879,260,33.0,27.03,38.78,0.0,507,35.1,30.63,39.2,0.0,343,27.5,22.54,32.06,0.0,456,17.4,13.82,20.94,0.0,712,34.7,30.84,38.51,0.0,854,25.8,22.38,28.87,0.0,1566,30.2,27.96,32.73,0.0,3515847.0,3255069.0,3810387.0,True,False
OK,"Mar 5 - Mar 12, 2021",16,Statewide,Statewide,3918137,260,20.6,15.56,26.22,0.0,325,17.0,12.13,21.61,0.0,325,21.1,16.56,25.58,0.0,390,14.3,10.47,18.01,0.0,541,19.7,15.61,23.54,0.0,759,16.8,13.8,19.83,0.0,1300,18.2,15.82,20.81,0.0,713101.0,619849.0,815364.0,True,False
OR,"Mar 5 - Mar 20, 2021",16,Statewide,Statewide,4081943,260,14.0,9.89,19.07,0.0,347,4.4,2.34,6.48,0.0,352,4.9,2.6,7.38,0.0,353,3.3,1.21,5.62,0.0,555,7.4,5.25,9.79,0.0,757,5.3,3.59,7.16,0.0,1312,6.3,4.92,7.81,0.0,257162.0,200832.0,318800.0,True,False
PA,"Mar 8 - Mar 21, 2021",16,Statewide,Statewide,12791181,354,22.7,17.84,27.83,0.0,402,22.6,17.55,27.68,0.0,422,17.5,13.82,21.8,0.0,350,12.8,9.09,16.91,0.0,603,19.8,16.24,23.98,0.0,925,19.9,16.82,23.08,0.0,1528,19.9,17.21,22.75,0.0,2545445.0,2201362.0,2909994.0,True,False
PR,"Mar 8 - Mar 16, 2021",16,Statewide,Statewide,3386941,325,6.0,3.32,9.31,0.0,325,30.7,24.92,36.9,0.0,325,32.2,26.37,38.32,0.0,325,52.5,46.83,59.37,0.0,543,28.5,23.98,33.61,0.0,757,31.6,27.12,35.61,0.0,1300,30.1,27.43,33.27,0.0,1019469.0,929038.0,1126835.0,True,False
RI,"Mar 8 - Mar 20, 2021",16,Statewide,Statewide,1056611,41,777.0,,,,395,10.5,7.56,13.72,0.0,254,12.9,9.03,17.25,0.0,248,7.7,4.47,11.29,0.0,405,14.4,9.66,20.04,0.0,533,9.4,6.12,13.49,0.0,938,11.8,9.03,15.09,0.0,124680.0,95412.0,159443.0,True,False
SC,"Mar 8 - Mar 18, 2021",16,Statewide,Statewide,4955925,285,35.9,30.52,41.81,0.0,310,23.3,18.28,28.42,0.0,397,20.3,16.21,25.27,0.0,514,15.2,12.26,18.56,0.0,648,23.2,19.35,27.28,0.0,858,25.0,21.53,28.59,0.0,1506,24.1,21.5,26.78,0.0,1194378.0,1065524.0,1327197.0,True,False
