Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.7,,45.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",68.2,52.5 to 80.6,52.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,28.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",73.6,67.9 to 78.6,334.0
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,14.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.7,51.7 to 74.2,60.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Race/Ethnicity,"White, Non-Hispanic",57.2,52.4 to 61.8,760.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Race/Ethnicity,"White, Non-Hispanic",66.0,61.3 to 70.4,822.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Race/Ethnicity,"White, Non-Hispanic",44.9,39.5 to 50.4,435.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Race/Ethnicity,"White, Non-Hispanic",46.3,37.2 to 55.6,274.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Race/Ethnicity,"White, Non-Hispanic",65.0,56.0 to 73.1,179.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Race/Ethnicity,"White, Non-Hispanic",61.0,56.7 to 65.1,577.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Race/Ethnicity,"White, Non-Hispanic",53.4,46.9 to 59.9,309.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Race/Ethnicity,"White, Non-Hispanic",75.0,71.1 to 78.6,664.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Race/Ethnicity,"White, Non-Hispanic",69.7,63.3 to 75.4,487.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Race/Ethnicity,"White, Non-Hispanic",79.3,73.8 to 83.9,258.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Race/Ethnicity,"White, Non-Hispanic",58.5,54.0 to 62.8,520.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Race/Ethnicity,"White, Non-Hispanic",74.2,70.2 to 77.8,525.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Race/Ethnicity,"White, Non-Hispanic",50.0,44.2 to 55.8,385.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Race/Ethnicity,"White, Non-Hispanic",61.3,57.1 to 65.3,763.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Race/Ethnicity,"White, Non-Hispanic",79.7,76.0 to 83.0,511.0
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Race/Ethnicity,"White, Non-Hispanic",57.0,51.8 to 62.1,384.0
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Race/Ethnicity,"White, Non-Hispanic",64.6,60.3 to 68.8,733.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Race/Ethnicity,"White, Non-Hispanic",59.4,53.9 to 64.7,451.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Race/Ethnicity,"White, Non-Hispanic",61.5,56.1 to 66.6,916.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Race/Ethnicity,"White, Non-Hispanic",79.4,74.8 to 83.5,460.0
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Race/Ethnicity,"White, Non-Hispanic",68.8,60.6 to 76.0,326.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Race/Ethnicity,"White, Non-Hispanic",51.2,44.8 to 57.6,392.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Race/Ethnicity,"White, Non-Hispanic",57.9,51.7 to 63.9,293.0
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Race/Ethnicity,"White, Non-Hispanic",64.6,,460.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Race/Ethnicity,"White, Non-Hispanic",70.1,66.6 to 73.5,809.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Race/Ethnicity,"White, Non-Hispanic",79.7,76.6 to 82.6,692.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",68.3,59.4 to 76.0,185.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Race/Ethnicity,"White, Non-Hispanic",66.8,61.0 to 72.0,285.0
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",56.6,52.8 to 60.3,1053.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Race/Ethnicity,"White, Non-Hispanic",69.9,64.5 to 74.8,391.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Arkansas,2009-10,Age,≥18 Years,29.2,25.5 to 32.9,1051.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Colorado,2009-10,Age,≥18 Years,31.8,28.2 to 35.4,1267.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Florida,2009-10,Age,≥18 Years,15.0,12.3 to 17.7,904.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Georgia,2009-10,Age,≥18 Years,18.8,14.0 to 23.6,602.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Hawaii,2009-10,Age,≥18 Years,34.5,30.7 to 38.3,967.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Illinois,2009-10,Age,≥18 Years,28.5,25.6 to 31.4,1042.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Louisiana,2009-10,Age,≥18 Years,20.2,15.9 to 24.5,534.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maine,2009-10,Age,≥18 Years,47.5,43.3 to 51.7,696.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maryland,2009-10,Age,≥18 Years,26.2,22.2 to 30.2,1069.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Massachusetts,2009-10,Age,≥18 Years,46.2,41.9 to 50.5,979.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Michigan,2009-10,Age,≥18 Years,27.0,23.7 to 30.3,972.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Minnesota,2009-10,Age,≥18 Years,45.8,42.2 to 49.4,883.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Mississippi,2009-10,Age,≥18 Years,17.2,14.1 to 20.3,855.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Missouri,2009-10,Age,≥18 Years,24.7,21.5 to 27.9,946.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Nebraska,2009-10,Age,≥18 Years,43.9,40.5 to 47.3,1188.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New Jersey,2009-10,Age,≥18 Years,20.4,17.7 to 23.1,1042.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New York,2009-10,Age,≥18 Years,28.9,26.0 to 31.8,1576.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Ohio,2009-10,Age,≥18 Years,26.2,22.1 to 30.3,804.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Oklahoma,2009-10,Age,≥18 Years,21.8,18.2 to 25.4,1418.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Rhode Island,2009-10,Age,≥18 Years,46.0,41.9 to 50.1,797.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,South Carolina,2009-10,Age,≥18 Years,24.7,19.1 to 30.3,665.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Tennessee,2009-10,Age,≥18 Years,21.7,17.7 to 25.7,640.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Texas,2009-10,Age,≥18 Years,26.7,22.9 to 30.5,878.0
"Both Influenza Vaccinations, Seasonal and H1N1",National,U.S. Median,2009-10,Age,≥18 Years,28.5,,946.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Utah,2009-10,Age,≥18 Years,35.4,32.3 to 38.5,1117.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Vermont,2009-10,Age,≥18 Years,49.9,46.3 to 53.5,739.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Virginia,2009-10,Age,≥18 Years,32.4,25.6 to 39.2,308.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Washington,2009-10,Age,≥18 Years,37.6,33.7 to 41.5,1023.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,West Virginia,2009-10,Age,≥18 Years,24.1,21.0 to 27.2,1117.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Wyoming,2009-10,Age,≥18 Years,38.1,33.6 to 42.6,616.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Arkansas,2009-10,Age,18-24 Years,26.1,20.9 to 32.1,443.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Colorado,2009-10,Age,18-24 Years,24.3,18.3 to 31.5,355.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Florida,2009-10,Age,18-24 Years,9.9,6.2 to 15.3,250.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Georgia,2009-10,Age,18-24 Years,†,†,199.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Hawaii,2009-10,Age,18-24 Years,25.4,19.5 to 32.4,275.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Illinois,2009-10,Age,18-24 Years,18.9,14.5 to 24.2,288.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Louisiana,2009-10,Age,18-24 Years,10.8,6.3 to 18.1,190.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maine,2009-10,Age,18-24 Years,47.2,39.9 to 54.7,227.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maryland,2009-10,Age,18-24 Years,15.6,9.1 to 25.4,150.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Massachusetts,2009-10,Age,18-24 Years,27.1,20.2 to 35.3,209.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Michigan,2009-10,Age,18-24 Years,23.3,18.1 to 29.5,334.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Minnesota,2009-10,Age,18-24 Years,36.5,29.7 to 44.0,232.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Mississippi,2009-10,Age,18-24 Years,18.8,14.4 to 24.3,374.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Missouri,2009-10,Age,18-24 Years,13.9,10.5 to 18.3,336.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Nebraska,2009-10,Age,18-24 Years,36.3,30.3 to 42.8,352.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New Jersey,2009-10,Age,18-24 Years,15.2,10.5 to 21.6,204.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New York,2009-10,Age,18-24 Years,25.3,19.6 to 32.0,323.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Ohio,2009-10,Age,18-24 Years,19.3,13.6 to 26.8,281.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Oklahoma,2009-10,Age,18-24 Years,20.1,14.8 to 26.8,502.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Rhode Island,2009-10,Age,18-24 Years,40.8,33.2 to 49.0,197.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,South Carolina,2009-10,Age,18-24 Years,23.8,15.5 to 34.7,224.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Tennessee,2009-10,Age,18-24 Years,12.8,8.3 to 19.2,221.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Texas,2009-10,Age,18-24 Years,20.8,15.3 to 27.6,294.0
"Both Influenza Vaccinations, Seasonal and H1N1",National,U.S. Median,2009-10,Age,18-24 Years,24.1,,275.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Utah,2009-10,Age,18-24 Years,28.1,23.0 to 33.8,337.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Vermont,2009-10,Age,18-24 Years,47.7,40.1 to 55.3,170.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Virginia,2009-10,Age,18-24 Years,26.6,15.8 to 41.2,88.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Washington,2009-10,Age,18-24 Years,34.9,28.1 to 42.4,304.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,West Virginia,2009-10,Age,18-24 Years,14.9,11.4 to 19.3,486.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Wyoming,2009-10,Age,18-24 Years,30.8,23.8 to 38.7,208.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Arkansas,2009-10,Age,25-34 Years,31.1,26.0 to 36.7,493.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Colorado,2009-10,Age,25-34 Years,32.7,28.2 to 37.6,676.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Florida,2009-10,Age,25-34 Years,16.1,12.6 to 20.4,476.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Georgia,2009-10,Age,25-34 Years,19.6,13.9 to 26.9,314.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Hawaii,2009-10,Age,25-34 Years,39.6,34.3 to 45.1,504.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Illinois,2009-10,Age,25-34 Years,32.9,28.8 to 37.2,548.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Louisiana,2009-10,Age,25-34 Years,26.9,20.8 to 34.0,258.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maine,2009-10,Age,25-34 Years,49.0,43.3 to 54.7,376.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maryland,2009-10,Age,25-34 Years,29.2,23.8 to 35.3,381.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Massachusetts,2009-10,Age,25-34 Years,51.6,46.0 to 57.2,567.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Michigan,2009-10,Age,25-34 Years,29.4,25.0 to 34.3,479.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Minnesota,2009-10,Age,25-34 Years,47.3,42.8 to 51.7,531.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Mississippi,2009-10,Age,25-34 Years,15.8,11.8 to 20.7,374.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Missouri,2009-10,Age,25-34 Years,30.6,25.9 to 35.7,481.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Nebraska,2009-10,Age,25-34 Years,47.7,43.3 to 52.1,668.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New Jersey,2009-10,Age,25-34 Years,20.5,17.2 to 24.2,617.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New York,2009-10,Age,25-34 Years,28.5,24.9 to 32.4,879.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Ohio,2009-10,Age,25-34 Years,29.2,23.8 to 35.3,402.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Oklahoma,2009-10,Age,25-34 Years,22.8,18.1 to 28.1,731.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Rhode Island,2009-10,Age,25-34 Years,48.5,42.9 to 54.1,422.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,South Carolina,2009-10,Age,25-34 Years,26.2,18.8 to 35.2,320.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Tennessee,2009-10,Age,25-34 Years,29.1,23.2 to 35.9,323.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Texas,2009-10,Age,25-34 Years,30.0,24.8 to 35.8,418.0
"Both Influenza Vaccinations, Seasonal and H1N1",National,U.S. Median,2009-10,Age,25-34 Years,30.6,,479.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Utah,2009-10,Age,25-34 Years,37.0,33.0 to 41.2,645.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Vermont,2009-10,Age,25-34 Years,49.1,44.2 to 54.0,399.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Virginia,2009-10,Age,25-34 Years,32.1,23.4 to 42.2,153.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Washington,2009-10,Age,25-34 Years,39.2,34.0 to 44.7,555.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,West Virginia,2009-10,Age,25-34 Years,30.2,25.5 to 35.3,500.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Wyoming,2009-10,Age,25-34 Years,40.5,34.6 to 46.6,335.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Arkansas,2009-10,Age,≥35 Years,38.3,24.9 to 53.8,71.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Colorado,2009-10,Age,≥35 Years,42.3,32.4 to 52.8,196.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Florida,2009-10,Age,≥35 Years,21.3,14.5 to 30.0,148.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Georgia,2009-10,Age,≥35 Years,43.1,26.3 to 61.6,71.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Hawaii,2009-10,Age,≥35 Years,33.5,25.1 to 43.2,169.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Illinois,2009-10,Age,≥35 Years,31.4,24.5 to 39.2,174.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Louisiana,2009-10,Age,≥35 Years,29.7,17.3 to 46.0,67.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maine,2009-10,Age,≥35 Years,42.6,31.3 to 54.6,86.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maryland,2009-10,Age,≥35 Years,33.0,28.5 to 38.0,518.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Massachusetts,2009-10,Age,≥35 Years,52.4,42.4 to 62.2,180.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Michigan,2009-10,Age,≥35 Years,27.9,20.0 to 37.5,122.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Minnesota,2009-10,Age,≥35 Years,56.4,45.9 to 66.3,94.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Mississippi,2009-10,Age,≥35 Years,20.7,11.0 to 35.5,63.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Missouri,2009-10,Age,≥35 Years,35.1,24.9 to 47.0,104.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Nebraska,2009-10,Age,≥35 Years,44.1,34.5 to 54.2,135.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New Jersey,2009-10,Age,≥35 Years,25.2,19.4 to 32.2,210.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New York,2009-10,Age,≥35 Years,33.7,27.7 to 40.3,348.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Ohio,2009-10,Age,≥35 Years,34.1,22.8 to 47.5,98.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Oklahoma,2009-10,Age,≥35 Years,32.5,18.6 to 50.2,133.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Rhode Island,2009-10,Age,≥35 Years,48.4,39.0 to 57.9,154.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,South Carolina,2009-10,Age,≥35 Years,30.4,17.4 to 47.4,92.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Tennessee,2009-10,Age,≥35 Years,23.1,13.4 to 37.0,71.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Texas,2009-10,Age,≥35 Years,34.9,24.9 to 46.5,121.0
"Both Influenza Vaccinations, Seasonal and H1N1",National,U.S. Median,2009-10,Age,≥35 Years,35.1,,121.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Utah,2009-10,Age,≥35 Years,53.0,41.9 to 63.8,99.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Vermont,2009-10,Age,≥35 Years,57.6,49.7 to 65.2,157.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Virginia,2009-10,Age,≥35 Years,44.6,29.7 to 60.6,58.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Washington,2009-10,Age,≥35 Years,38.5,28.9 to 49.0,141.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,West Virginia,2009-10,Age,≥35 Years,41.6,28.6 to 55.7,81.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Wyoming,2009-10,Age,≥35 Years,55.7,41.2 to 69.2,60.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Arkansas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",18.0,11.3 to 27.4,179.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Colorado,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,29.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Florida,2009-10,Race/Ethnicity,"Black, Non-Hispanic",10.7,6.1 to 17.9,175.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Georgia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",†,†,223.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Hawaii,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,17.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Illinois,2009-10,Race/Ethnicity,"Black, Non-Hispanic",17.0,11.3 to 24.7,155.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Louisiana,2009-10,Race/Ethnicity,"Black, Non-Hispanic",12.3,7.0 to 20.8,192.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maine,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,7.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maryland,2009-10,Race/Ethnicity,"Black, Non-Hispanic",17.7,12.5 to 24.5,370.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Massachusetts,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.7,26.2 to 37.9,246.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Michigan,2009-10,Race/Ethnicity,"Black, Non-Hispanic",14.5,11.4 to 18.4,400.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Minnesota,2009-10,Race/Ethnicity,"Black, Non-Hispanic",47.1,36.9 to 57.5,130.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Mississippi,2009-10,Race/Ethnicity,"Black, Non-Hispanic",14.6,10.7 to 19.6,434.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Missouri,2009-10,Race/Ethnicity,"Black, Non-Hispanic",12.7,6.9 to 22.1,113.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Nebraska,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.5,26.0 to 37.5,205.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New Jersey,2009-10,Race/Ethnicity,"Black, Non-Hispanic",10.8,6.9 to 16.6,199.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,New York,2009-10,Race/Ethnicity,"Black, Non-Hispanic",17.2,11.8 to 24.4,264.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Ohio,2009-10,Race/Ethnicity,"Black, Non-Hispanic",16.4,11.8 to 22.3,306.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Oklahoma,2009-10,Race/Ethnicity,"Black, Non-Hispanic",†,†,127.0
"Both Influenza Vaccinations, Seasonal and H1N1",States,Rhode Island,2009-10,Race/Ethnicity,"Black, Non-Hispanic",35.4,21.8 to 51.8,52.0
