Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
Measles***,2017.0,4.0,6.0,,16.0,,7.0,,78.0,,188.0,,667.0,,187.0,,55.0,,"PA (3 ), FL (2 ), CA (1 )"
Chancroid,2017.0,4.0,,-,,-,0.0,,10.0,,11.0,,,-,,-,15.0,,
Hansen's disease**,2017.0,4.0,1.0,,4.0,,1.0,,43.0,,89.0,,88.0,,81.0,,82.0,,FL (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,4.0,,-,3.0,,3.0,,99.0,,120.0,,123.0,,142.0,,161.0,,
"Syphilis, congenital¶¶¶",2017.0,4.0,,-,5.0,,8.0,,469.0,,493.0,,458.0,,348.0,,322.0,,
Tularemia,2017.0,5.0,,-,1.0,,0.0,,202.0,,314.0,,180.0,,203.0,,149.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,4.0,,-,5.0,,6.0,,149.0,,175.0,,128.0,,141.0,,115.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,4.0,2.0,,5.0,,2.0,,271.0,,274.0,,250.0,,329.0,,274.0,,"NYC (1 ), FL (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,4.0,,-,,-,0.0,,22.0,,29.0,,40.0,,31.0,,30.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,4.0,,-,5.0,,3.0,,74.0,,111.0,,89.0,,99.0,,110.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,4.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, infant",2017.0,4.0,1.0,,3.0,,2.0,,126.0,,138.0,,127.0,,136.0,,123.0,,TN (1 )
SARS-CoV,2017.0,4.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,4.0,,-,,-,4.0,,182.0,,896.0,,,NN,,NN,,NN,
"Rabies, human",2017.0,4.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,4.0,,-,,-,,-,34.0,,55.0,,80.0,,85.0,,78.0,,
Psittacosis**,2017.0,4.0,,-,,-,0.0,,9.0,,4.0,,8.0,,6.0,,2.0,,
Plague,2017.0,4.0,,-,,-,,-,,-,16.0,,10.0,,4.0,,4.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,4.0,,-,,-,1.0,,46.0,,64.0,,59.0,,71.0,,65.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,4.0,,-,,-,,-,14.0,,7.0,,8.0,,12.0,,7.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,4.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Q fever, chronic**",2017.0,4.0,,-,3.0,,0.0,,29.0,,34.0,,36.0,,33.0,,22.0,,
Leptospirosis**,2017.0,4.0,,-,,-,0.0,,57.0,,40.0,,38.0,,,NN,,NN,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,4.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017.0,4.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Cyclosporiasis**,2017.0,4.0,,-,1.0,,1.0,,500.0,,645.0,,388.0,,784.0,,123.0,,
"Botulism, foodborne",2017.0,4.0,,-,,-,0.0,,33.0,,37.0,,15.0,,4.0,,27.0,,
"Poliomyelitis, paralytic",2017.0,4.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
Typhoid fever (caused by Salmonella typhi),2017.0,4.0,3.0,,16.0,,7.0,,328.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), VA (1 ), FL (1 )"
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,4.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total**",2017.0,4.0,2.0,,5.0,,2.0,,138.0,,156.0,,168.0,,170.0,,135.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,4.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,4.0,,-,,-,,-,6.0,,11.0,,11.0,,22.0,,2.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,4.0,,-,3.0,,2.0,,127.0,,135.0,,266.0,,233.0,,263.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,4.0,7.0,,15.0,,5.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"NYC (3 ), MO (1 ), MS (1 ), WA (1 ), CA (1 )"
"Botulism, total",2017.0,4.0,1.0,,3.0,,3.0,,183.0,,195.0,,161.0,,152.0,,168.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,4.0,,-,,-,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
Smallpox,2017.0,4.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,4.0,,-,,-,0.0,,6.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,4.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017.0,4.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Anthrax,2017.0,4.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,4.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Q fever, acute**",2017.0,4.0,2.0,,2.0,,2.0,,109.0,,122.0,,132.0,,137.0,,113.0,,"OH (1 ), TX (1 )"
Novel influenza A virus infections§§§,2017.0,4.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Diphtheria,2017.0,4.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Botulism, other (wound and unspecified)",2017.0,4.0,,-,,-,0.0,,24.0,,20.0,,19.0,,12.0,,18.0,,
"Polio virus Infection, nonparalytic**",2017.0,4.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,4.0,4.0,,18.0,,6.0,,170.0,,120.0,,196.0,,298.0,,260.0,,"OH (1 ), VA (1 ), CO (2 )"
"Zika virus disease, non-congenital††††  ",2017.0,5.0,1.0,,35.0,,14.0,,4883.0,,,NN,,NN,,NN,,NN,ME (1 )
SARS-CoV,2017.0,5.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2017.0,5.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,5.0,,-,6.0,,3.0,,75.0,,111.0,,89.0,,99.0,,110.0,,
Chancroid,2017.0,5.0,,-,,-,0.0,,10.0,,11.0,,,-,,-,15.0,,
"Q fever, total**",2017.0,5.0,,-,4.0,,2.0,,139.0,,156.0,,168.0,,170.0,,135.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,5.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,5.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Trichinellosis**,2017.0,5.0,,-,,-,0.0,,21.0,,14.0,,14.0,,22.0,,18.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,5.0,,-,7.0,,6.0,,149.0,,175.0,,128.0,,141.0,,115.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,5.0,,-,4.0,,3.0,,98.0,,183.0,,212.0,,248.0,,134.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,5.0,,-,,-,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,5.0,,-,1.0,,1.0,,16.0,,21.0,,25.0,,17.0,,20.0,,
Anthrax,2017.0,5.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,5.0,,-,1.0,,1.0,,22.0,,29.0,,40.0,,31.0,,30.0,,
Leptospirosis**,2017.0,5.0,1.0,,2.0,,0.0,,57.0,,40.0,,38.0,,,NN,,NN,FL (1 )
Streptococcal toxic-shock syndrome**,2017.0,5.0,,-,7.0,,6.0,,260.0,,335.0,,259.0,,224.0,,194.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,5.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Rabies, human",2017.0,5.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Novel influenza A virus infections§§§,2017.0,5.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Cholera,2017.0,5.0,,-,,-,0.0,,4.0,,5.0,,5.0,,14.0,,17.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,5.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,5.0,4.0,,10.0,,2.0,,271.0,,274.0,,250.0,,329.0,,274.0,,"MD (1 ), GA (1 ), FL (2 )"
Yellow fever,2017.0,5.0,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen's disease**,2017.0,5.0,,-,4.0,,1.0,,43.0,,89.0,,88.0,,81.0,,82.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,5.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Botulism, infant",2017.0,5.0,1.0,,4.0,,2.0,,126.0,,138.0,,127.0,,136.0,,123.0,,TN (1 )
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,5.0,2.0,,21.0,,6.0,,171.0,,120.0,,196.0,,298.0,,260.0,,"TX (1 ), ID (1 )"
"Syphilis, congenital¶¶¶",2017.0,5.0,,-,10.0,,8.0,,472.0,,493.0,,458.0,,348.0,,322.0,,
"Botulism, other (wound and unspecified)",2017.0,5.0,,-,,-,0.0,,25.0,,20.0,,19.0,,12.0,,18.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,5.0,,-,,-,,-,6.0,,11.0,,11.0,,22.0,,2.0,,
Brucellosis,2017.0,5.0,2.0,,4.0,,1.0,,115.0,,126.0,,92.0,,99.0,,114.0,,FL (2 )
Listeriosis,2017.0,5.0,6.0,,40.0,,8.0,,702.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), FL (3 ), TX (1 ), CA (1 )"
"Viral hemorrhagic fever****, Marburg fever",2017.0,5.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,5.0,,-,,-,,-,34.0,,55.0,,80.0,,85.0,,78.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,5.0,,-,,-,1.0,,46.0,,64.0,,59.0,,71.0,,65.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,5.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,5.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,5.0,3.0,,18.0,,5.0,,237.0,,167.0,,39.0,,34.0,,37.0,,"PA (1 ), AZ (1 ), UT (1 )"
"Q fever, chronic**",2017.0,5.0,,-,2.0,,0.0,,29.0,,34.0,,36.0,,33.0,,22.0,,
Plague,2017.0,5.0,,-,,-,,-,,-,16.0,,10.0,,4.0,,4.0,,
Psittacosis**,2017.0,5.0,,-,,-,0.0,,9.0,,4.0,,8.0,,6.0,,2.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,5.0,,-,,-,,-,15.0,,7.0,,8.0,,12.0,,7.0,,
Cyclosporiasis**,2017.0,5.0,,-,2.0,,1.0,,502.0,,645.0,,388.0,,784.0,,123.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,5.0,,-,5.0,,2.0,,129.0,,135.0,,266.0,,233.0,,263.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,5.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Botulism, total",2017.0,5.0,1.0,,4.0,,3.0,,184.0,,195.0,,161.0,,152.0,,168.0,,
"Q fever, acute**",2017.0,5.0,,-,2.0,,2.0,,110.0,,122.0,,132.0,,137.0,,113.0,,
Measles***,2017.0,5.0,,-,16.0,,7.0,,78.0,,188.0,,667.0,,187.0,,55.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,5.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus**,2017.0,5.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
"Poliomyelitis, paralytic",2017.0,5.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Hepatitis B, perinatal virus infection§§",2017.0,5.0,,-,1.0,,1.0,,25.0,,37.0,,47.0,,48.0,,40.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,5.0,5.0,,20.0,,5.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"MO (2 ), MD (1 ), VA (1 ), NC (1 )"
Typhoid fever (caused by Salmonella typhi),2017.0,5.0,,-,21.0,,7.0,,330.0,,367.0,,349.0,,338.0,,354.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,5.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,5.0,,-,4.0,,3.0,,99.0,,120.0,,123.0,,142.0,,161.0,,
Smallpox,2017.0,5.0,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2017.0,5.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,5.0,,-,,-,0.0,,6.0,,6.0,,8.0,,8.0,,15.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,5.0,,-,,-,3.0,,188.0,,896.0,,,NN,,NN,,NN,
"Botulism, foodborne",2017.0,5.0,,-,,-,0.0,,33.0,,37.0,,15.0,,4.0,,27.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,5.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Botulism, total",2017.0,6.0,,-,4.0,,3.0,,186.0,,195.0,,161.0,,152.0,,168.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,6.0,,-,,-,,-,6.0,,6.0,,8.0,,8.0,,15.0,,
"Polio virus Infection, nonparalytic**",2017.0,6.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute**",2017.0,6.0,,-,3.0,,2.0,,112.0,,122.0,,132.0,,137.0,,113.0,,
Listeriosis,2017.0,6.0,4.0,,48.0,,8.0,,707.0,,768.0,,769.0,,735.0,,727.0,,"MI (1 ), FL (1 ), OK (1 ), AZ (1 )"
"Q fever, chronic**",2017.0,6.0,,-,2.0,,0.0,,30.0,,34.0,,36.0,,33.0,,22.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,6.0,,-,1.0,,1.0,,26.0,,37.0,,47.0,,48.0,,40.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,6.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Cyclosporiasis**,2017.0,6.0,,-,2.0,,1.0,,505.0,,645.0,,388.0,,784.0,,123.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,6.0,3.0,,21.0,,5.0,,236.0,,167.0,,39.0,,34.0,,37.0,,"NE (1 ), TN (1 ), CA (1 )"
Hansen's disease**,2017.0,6.0,,-,4.0,,1.0,,43.0,,89.0,,88.0,,81.0,,82.0,,
"Syphilis, congenital¶¶¶",2017.0,6.0,,-,15.0,,8.0,,476.0,,493.0,,458.0,,348.0,,322.0,,
Plague,2017.0,6.0,,-,,-,,-,,-,16.0,,10.0,,4.0,,4.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,6.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Brucellosis,2017.0,6.0,1.0,,5.0,,1.0,,118.0,,126.0,,92.0,,99.0,,114.0,,AZ (1 )
Vancomycin-resistant Staphylococcus aureus**,2017.0,6.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
"Botulism, infant",2017.0,6.0,,-,4.0,,2.0,,128.0,,138.0,,127.0,,136.0,,123.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,6.0,,-,1.0,,1.0,,22.0,,29.0,,40.0,,31.0,,30.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,6.0,4.0,,28.0,,7.0,,331.0,,367.0,,349.0,,338.0,,354.0,,"NY (1 ), NYC (1 ), MD (1 ), SC (1 )"
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,6.0,,-,,-,,-,,-,,-,,-,,-,,-,
SARS-CoV,2017.0,6.0,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis**,2017.0,6.0,,-,,-,0.0,,9.0,,4.0,,8.0,,6.0,,2.0,,
Diphtheria,2017.0,6.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,6.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Novel influenza A virus infections§§§,2017.0,6.0,,-,,-,,-,23.0,,7.0,,3.0,,21.0,,313.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,6.0,1.0,,9.0,,6.0,,149.0,,175.0,,128.0,,141.0,,115.0,,NY (1 )
"Viral hemorrhagic fever****, Marburg fever",2017.0,6.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Influenza-associated pediatric mortality**,¶¶",2017.0,6.0,9.0,,29.0,,5.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"NY (1 ), NYC (1 ), MN (1 ), NC (1 ), TN (1 ), AZ (1 ), CA (1 ), OH (1 ), PA (1 )"
"Arboviral diseases¶,** La Crosse virus disease",2017.0,6.0,,-,,-,,-,34.0,,55.0,,80.0,,85.0,,78.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,6.0,1.0,,8.0,,2.0,,130.0,,135.0,,266.0,,233.0,,263.0,,NY (1 )
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,6.0,3.0,,28.0,,6.0,,171.0,,120.0,,196.0,,298.0,,260.0,,"NY (1 ), FL (1 ), OR (1 )"
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,6.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,6.0,5.0,,16.0,,2.0,,273.0,,274.0,,250.0,,329.0,,274.0,,"MO (1 ), GA (1 ), FL (2 ), OR (1 )"
Yellow fever,2017.0,6.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,6.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,6.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
Streptococcal toxic-shock syndrome**,2017.0,6.0,1.0,,12.0,,6.0,,260.0,,335.0,,259.0,,224.0,,194.0,,MT (1 )
Measles***,2017.0,6.0,1.0,,18.0,,6.0,,78.0,,188.0,,667.0,,187.0,,55.0,,UT (1 )
"Arboviral diseases¶,** Powassan virus disease",2017.0,6.0,,-,,-,,-,15.0,,7.0,,8.0,,12.0,,7.0,,
Smallpox,2017.0,6.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,6.0,,-,1.0,,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,6.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,6.0,,-,,-,3.0,,188.0,,896.0,,,NN,,NN,,NN,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,6.0,,-,6.0,,3.0,,75.0,,111.0,,89.0,,99.0,,110.0,,
"Q fever, total**",2017.0,6.0,,-,5.0,,2.0,,142.0,,156.0,,168.0,,170.0,,135.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,6.0,,-,,-,,-,6.0,,11.0,,11.0,,22.0,,2.0,,
Anthrax,2017.0,6.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2017.0,6.0,,-,,-,0.0,,25.0,,20.0,,19.0,,12.0,,18.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,6.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Leptospirosis**,2017.0,6.0,,-,2.0,,0.0,,58.0,,40.0,,38.0,,,NN,,NN,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,6.0,,-,4.0,,3.0,,100.0,,183.0,,212.0,,248.0,,134.0,,
Trichinellosis**,2017.0,6.0,,-,,-,0.0,,21.0,,14.0,,14.0,,22.0,,18.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,6.0,,-,4.0,,3.0,,100.0,,120.0,,123.0,,142.0,,161.0,,
"Zika virus disease, non-congenital††††  ",2017.0,6.0,,-,46.0,,15.0,,4909.0,,,NN,,NN,,NN,,NN,
Chancroid,2017.0,6.0,,-,,-,0.0,,10.0,,11.0,,,-,,-,15.0,,
"Rabies, human",2017.0,6.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Cholera,2017.0,6.0,,-,,-,0.0,,3.0,,5.0,,5.0,,14.0,,17.0,,
"Botulism, foodborne",2017.0,6.0,,-,,-,0.0,,33.0,,37.0,,15.0,,4.0,,27.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,6.0,,-,,-,1.0,,42.0,,64.0,,59.0,,71.0,,65.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,6.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Poliomyelitis, paralytic",2017.0,6.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,6.0,,-,1.0,,1.0,,16.0,,21.0,,25.0,,17.0,,20.0,,
Tularemia,2017.0,6.0,,-,2.0,,0.0,,202.0,,314.0,,180.0,,203.0,,149.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,6.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Anthrax,2017.0,7.0,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome**,2017.0,7.0,1.0,,15.0,,7.0,,261.0,,335.0,,259.0,,224.0,,194.0,,ID (1 )
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,7.0,,-,,-,,-,6.0,,11.0,,11.0,,22.0,,2.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,7.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,7.0,,-,,-,,-,6.0,,6.0,,8.0,,8.0,,15.0,,
Yellow fever,2017.0,7.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,7.0,4.0,,27.0,,6.0,,236.0,,167.0,,39.0,,34.0,,37.0,,"NYC (1 ), PA (1 ), OH (1 ), AZ (1 )"
"Rabies, human",2017.0,7.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Smallpox,2017.0,7.0,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,7.0,,-,,-,2.0,,42.0,,64.0,,59.0,,71.0,,65.0,,
"Botulism, infant",2017.0,7.0,,-,7.0,,2.0,,129.0,,138.0,,127.0,,136.0,,123.0,,
"Botulism, foodborne",2017.0,7.0,,-,,-,0.0,,33.0,,37.0,,15.0,,4.0,,27.0,,
Measles***,2017.0,7.0,,-,18.0,,5.0,,78.0,,188.0,,667.0,,187.0,,55.0,,
"Q fever, chronic**",2017.0,7.0,,-,3.0,,1.0,,30.0,,34.0,,36.0,,33.0,,22.0,,
"Poliomyelitis, paralytic",2017.0,7.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Viral hemorrhagic fever****, Marburg fever",2017.0,7.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,7.0,1.0,,35.0,,6.0,,167.0,,120.0,,196.0,,298.0,,260.0,,MD (1 )
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,7.0,,-,1.0,,1.0,,17.0,,21.0,,25.0,,17.0,,20.0,,
"Syphilis, congenital¶¶¶",2017.0,7.0,,-,24.0,,8.0,,477.0,,493.0,,458.0,,348.0,,322.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,7.0,,-,4.0,,3.0,,101.0,,183.0,,212.0,,248.0,,134.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,7.0,,-,,-,0.0,,3.0,,3.0,,,NN,,NN,,NN,
Plague,2017.0,7.0,,-,,-,,-,,-,16.0,,10.0,,4.0,,4.0,,
Psittacosis**,2017.0,7.0,,-,,-,0.0,,9.0,,4.0,,8.0,,6.0,,2.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,7.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Novel influenza A virus infections§§§,2017.0,7.0,,-,,-,,-,23.0,,7.0,,3.0,,21.0,,313.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,7.0,,-,1.0,,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,7.0,,-,,-,,-,34.0,,55.0,,80.0,,85.0,,78.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,7.0,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2017.0,7.0,,-,,-,0.0,,,-,,-,1.0,,,-,1.0,,
"Botulism, other (wound and unspecified)",2017.0,7.0,,-,1.0,,0.0,,25.0,,20.0,,19.0,,12.0,,18.0,,
SARS-CoV,2017.0,7.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2017.0,7.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,7.0,,-,9.0,,2.0,,130.0,,135.0,,266.0,,233.0,,263.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,7.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,7.0,,-,10.0,,6.0,,149.0,,175.0,,128.0,,141.0,,115.0,,
